answer,question
Baykal,Dünyada en fazla tatlı suyu bulunduran göl
Mesane,İdrar kesesi
Plüton,Gezegenlikten ihraç edilen cüce gezegen
Jakuzi,Su ile masaj yapan büyük banyo küveti
Üzümlü,Adını yetiştirdiği meyveden alan Erzincan ilçesi
Kabare,"Güncel, müzikli, eğlenceli tiyatro türü"
Madonna,"Kürk Mantolu __, Sabahattin Ali romanı"
Babacık,Muhabbet kuşlarının tekrarladığı bir kelime
Veliaht,Bir sanatçının yerine aday gösterilen genç kişi
Kabotaj,Her yıl 1 Temmuz günü kutlanan ulusal bayram
Limuzin,"Normalden daha uzun, gösterişli otomobil"
Gümüşse,"Söz __, sükut altındır"
Danışma,Birine herhangi bir konuda bilgi ya da fikir sorma
Küpeşte,Korkulukların üzerine yerleştirilen ahşap parça
Vanilya,Kek ve pastalara tat vermekte kullanılan bitki özü
Yevmiye,Bir günlük çalışmanın sonunda alınan ücret
Bağcıksız,Üzerinde ip olmayan ayakkabı
Madonna,"80'lerde çıkış yapan, pop müziğin kraliçesi"
Akılalmaz,Kavranamayacak kadar inanılmaz olan
Açık bilet,İstenilen tarihte kullanılabilen yolculuk belgesi
Filarmoni,Bir kurum veya vakıfça desteklenen orkestra
Aşık olmak,Midede kelebekler uçuşturacak kadar sevmek
Inceltici,"Boyanın kalınlığını azaltan kimyasal, tiner"
Gevelemek,"Ağzında __, lafı dolandırmak"
Khalkedon,Kadıköy semtinin körler ülkesi demek olan eski adı
Gerdanlık,Değerli taş veya altından yapılan bir tür kolye
Ege denizi,Anadolu'nun batısındaki büyük su kitlesi
Analjezik,Ağrı kesici anlamına gelen tıp terimi
Gıdıklama,Ayağın altına tüy ile dokunup güldürmeye çalışma
Esmeralda,Notre Dame'ın Kamburu'nun kadın kahramanı
Sürmanşet,Gazetelerde logonun üzerine atılan başlık
Beyefendi,Saygılı ve ölçülü erkek
Atilla taş,Ham Çökelek şarkısını seslendiren şarkıcı
Kompresör,Basınçlı hava veren makine
Simultane,Eş zamanlı yapılan çeviri
Scooby doo,Başrolünde köpek olan polisiye komedi çizgi dizi
Enteriyör,Bir binanın veya odanın içinin resmedilmesi
Yargıtay,Mahkeme kararını denetleyen üst mahkeme
Birleşmiş,"__ Milletler, dünya barışı için kurulan örgüt"
Paspartu,"Resme bakmayı kolaylaştıran, ortası boş karton"
Damızlık,Yeni yavrular doğurması için yetiştirilen hayvan
Ekmeğini,"Çok çalışıp para kazanmak, __ taştan çıkarmak"
Pastoral,Köy yaşamını anlatan hikaye türü
Ustabaşı,Bir atölyede çalışan işçilerin şefi
Ayaktopu,Futbolun kelime anlamı
Kasımiye,Mardin'de bulunan yediyüz yıllık medrese
Mükremin,Bir Demet Tiyatro'nun baş karakteri olan delikanlı
Cihangir,Kapıcılar Kralı'nın çekildiği İstanbul semti
Müstesna,Benzerlerinden üstün anlamında bir söz
Yeşilçay,Antioksidan özellikte bir bitki ve onun içeceği
Sözleşme,Bir iş için karşılıklı imzalanan kağıt
Orkestra,Birden çok enstrümanın bulunduğu müzik grubu
Humboldt,Güney Amerika'nın batı kıyısındaki su akıntısı
Teneffüs,Okulda derslere verilen mola
Mercimek,"__ Köftesi, altın günü menüsünün klasiği"
Hususi,"Özel olarak, kişiye özel"
Disket,Kaydet butonuna resmi koyulan eski depolama aracı
Limoni,İki kişinin arasının pek iyi olmadığını belirtir
Maiyet,Kıdemli birinin yanındaki görevliler
Sörfçü,Özel bir tahta üzerinde dalgalarda gezinen sporcu
Kuzgun,Kargalara verilen bir diğer isim
Sinyal,Arabanın hangi yöne döneceğini bildiren işaret
Ateşle,__ oynamak; Kötü bitebilecek bir işe girişmek
Kadife,İpek ya da yün pamuktan dokunmuş yumuşak bir kumaş
Dakika,Saatin altmışta birine denk gelen zaman birimi
Klasik,Üzerinden zaman geçse de değerini yitirmeyen eser
Levent,2. ve 3. bölgesi pek bilinmeyen İstanbul semti
Makale,Açıklayıcı ya da yorumlayıcı gazete yazısı
Zengin,"Çok parası, malı, mülkü olan kişi"
Nektar,"Arıların çiçeklerden topladığı sıvı, bal özü"
Bordro,Maaş ya da benzeri bir hesabın ayrıntılı belgesi
Dinamo,Elektrik üretmeye yarayan motor
Hamile,Bebek bekleyen kadın
Harlem,Basketbol şovu ile ünlü Amerikan takımı
Antika,Eski ve değerli eşya
Manila,Filipinler'in başkenti
Ferzan,"İtalyanca filmler çekmiş Türk yönetmen, __ Özpetek"
Şalgam,Mor havuçtan yapılan bir içecek
Brıçka,"Tek atlı, hafif ve yaylı Rus kızağı"
Bal kabağı,Külkedisi için perinin faytona dönüştürdüğü bitki
Pratisyen,Uzmanlaşmamış doktor
Sunay akın,İstanbul Oyuncak Müzesi'nin kurucusu olan şair
Ulan batur,Dünyanın en soğuk başkenti
Arkadaşım,"__ Eşek, Barış Manço'nun bir şarkısı"
Yat limanı,Marina
Aminoasit,Proteinlerin yapı taşı
Takometre,Ticari araçların hızlarını kaydeden cihaz
Antipatik,"İtici davranışları olan, sevimsiz"
Balık etli,Hafif kilolu ama şişman olmayan kişi
Dondurma,Genelde yazın yenen sütlü soğuk tatlı
Apart otel,"Daire gibi döşenmiş, yemek sunmayan konaklama yeri"
Çalışkan,Öğretmenler ve patronların sevdiği kişi
Potasyum,"Simgesi K olan, muzda bolca bulunan bir element"
Piyanist,İkinci Dünya Savaşı'nda bir müzisyeni anlatan film
Tinnitus,Kulak çınlaması rahatsızlığı
Tuhafiye,"Kurdele, dantel gibi süs eşyaları satan dükkan"
Reverans,Dizleri hafif kırarak verilen asilzade selamı
Paraguay,Güney Amerika'da denize kıyısı olmayan bir ülke
Bindallı,Gelinin kına gecesinde giydiği kıyafet
Yazıtura,Madeni parayı havaya atarak oynanan şans oyunu
Internet,Uluslararası bilgi ve iletişim ağı
Hücumbot,Hızlı hareket eden küçük savaş gemisi
Müderris,Osmanlı medreselerinde eğitim veren kişi
Frambuaz,Ahududu meyvesinin diğer adı
Çalışkan,Derslerini aksatmayan öğrenci
Ilahiyat,"Teoloji, tanrı bilimi"
Görmedim,"__ Duymadım Bilmiyorum, Üç maymunun sözü"
Sıvışmak,"Bir yerden fark edilmeden, gizlice uzaklaşmak"
Misafir,"Eve gelen ziyaretçi, konuk"
Seagate,İrlanda merkezli sabit disk üreticisi firma
Şehzade,Osmanlı padişahlarının oğullarına verilen unvan
Bellini,"Gentile __, Fatih'in portresini yapan ressam"
Prensip,Kişinin kendine koyduğu davranış kuralı
Komodin,Yatağın yanı başına konulan çekmeceli dolap
Andante,Bir enstrümanın yavaş ve tempolu çalınması
Anayurt,"Yusuf Atılgan romanı, __ Oteli"
Gizleme,"Bir şeyi göstermemeye çalışma, saklama"
Marakeş,Fas'ın Kızıl Şehir olarak bilinen turistik şehri
Şemsiye,Aslen güneşten korunmak için icat edilmiş eşya
Çökelek,Ayranın kaynatılması ile yapılan peynir
Avizeci,Aydınlatma gereçleri imalat veya satıcısı
Sollama,"Trafikte, öndeki aracı geçmenin kurala uygun yolu"
Pandora,Açılmaması gereken mitolojik kutunun sahibi
Emir eri,Subaylara hizmet eden rütbesiz asker
Ebeveyn,Anne ve baba
Pedikür,Ayak tırnaklarına yapılan bakım
Pelerin,Süper kahramanların taktığı uzun düz üstlük
Obelisk,"Dikilitaşın eş anlamlısı, yabancı kökenli kelime"
Baharat,Yemeğe tat ve renk katan gıda ürünü
Şambrel,Denizde yüzmek için de kullanılan siyah iç lastik
Arkadaş,Yılmaz Güney ve Melike Demirağ'ı buluşturan film
Ispirto,Aydınlatma ve ocakta kullanılan mor renkli sıvı
Postane,Mektup göndermek için gidilen yer
Meyvesi,"Ağacın __ olunca, başını aşağı salar"
Erciyes,Kayseri'nin sembolü olan dağ
Belçika,Bayrağının renkleri Almanya ile aynı Avrupa ülkesi
Karizma,Bir insanın başkalarını etkileyen genel havası
Tıbbiye,"Eski dilde, doktor yetiştiren fakülte"
Hanedan,"Kralın, hükümdarın soyu ve bu soydan gelen"
Fırıncı,Ekmek yapıp satan kimse
Bilmece,Soru cevap şeklinde oynanan oyunlara verilen ad
Alveol,Akciğerlerde genişleşlemiş küçük kesecik
Smokin,Erkeklerin özel gün takımı
Ruhsat,Bir yapının kullanılması için verilen izin belgesi
Kınalı,"Hülya Koçyiğit filmi, __ Yapıncak"
Taşkın,Aşırı yağış nedeniyle oluşan su baskını
Devasa,Aşırı derecede büyük
Hangar,Uçaklar için inşa edilmiş büyük garaj
Argali,Orta Asya'da yaşayan ve en iri olan koyun türü
Smokin,Erkeklerin özel günlerde giydikleri takım elbise
Lahana,Sarması yapılan büyük yapraklı bir sebze
Avukat,Yargıç önünde kişinin hakkını savunur
Kitabe,Tarihi yazıt
Pastil,Ağızda eritilerek kullanılan şekerli ilaç tableti
Hırçın,"Agresif, sinirli, neye kızacağı belli olmayan"
Alveol,Akciğerlerde bulunan küçük hava kesesi
Selene,Karanlıklar Ülkesi'nin baş kahramanı olan kadın
Termos,İçecekleri sıcak ya da soğuk tutan kapaklı şişe
Vitray,Boyanmış cam parçaları ile yapılan süsleme
Süveyş,Akdeniz ve Kızıldeniz arasındaki kanal
Pinpon,Masa üzerinde oynanan tenis oyunu
Ruhsat,Bir iş yerinin çalışması için verilen izin belgesi
Tarife,Ulaşımda yazın ve kışın değişen sefer saatleri
Revolver,Kovboyların kullandığı toplu tabanca türü
Depozito,Ev sahibinin kiracıdan talep ettiği teminat
Gösteriş,Başkalarını etkilemek için yapılan yapay davranış
Acıpayam,Keloğlan Mağarası'nın bulunduğu Denizli ilçesi
Yalıtkan,Elektrik akımına dur diyen madde
Eva braun,Adolf Hitler'in karısı
Fermejüp,Kıyafetleri bağlamaya yarayan çıtçıt
Ara sınav,Okullarda dönem içerisinde yapılan imtihan
Lepistes,"Çok sık yavrulayan, küçük bir akvaryum balığı türü"
Kırkkaşık,Mersin'in Tarsus ilçesindeki tarihi bedesten
Tuzlama,Taneleri iri işkembe çorbası
Kaputaş,Kaş ve Kalkan arasında yer alan ünlü plaj
Kızkumu,Su üstünde yürür gibi gösteren Muğla plajı
Veranda,Bahçeli evlerde girişin önündeki açık alan
Bakteri,Tek hücreli mikroorganizmalara verilen ad
Yatağan,Osmanlı'da yeniçerilerin kullandığı kılıç
Sarışın,Beyaz tenli ve açık renk saçlı kimse
Tırtıl,Kelebeğin mevcut haline gelmeden önceki formu
Teşbih,Edebiyatta benzetme
Lezzet,Yiyecek ve içeceklerden alınan tat
Anapara,Kredi ödemelerinde faiz dışında kalan kısım
Sağanak,Ani bastıran ve genelde kısa süren kuvvetli yağmur
Yarımada,Üç tarafı denizlerle çevrili kara parçası
Gündöndü,Ayçiçeğinin diğer ismi
Klarnet,Hüsnü Şenlendirici'nin çaldığı müzik aleti
Fırtına,Ana kahramanı Prospero olan Shakespeare oyunu
Pegasus,Mitolojideki kanatlı atın ismi
Tadımlık,Bir yemekten alınan küçük lokma
Ilk dördün,Ay'ın sağ yarısının aydınlık olduğu zaman
Gazeteler,90'larda ansiklopedi hediye eden günlük yayınlar
Sergüzeşt,"Yaşanılan ilginç olay ya da olaylar, serüven"
Nefroloji,Böbrek hastalıklarıyla ilgili tıp bölümü
Kıskanmak,Zeki Demirkubuz'un Nahid Sırrı Örik uyarlaması
Delikanlı,Ergenliğe adım atmış genç erkek
Ada vapuru,Sezen Aksu şarkısında yandan çarklı olan araç
Kastamonu,Hababam Sınıfı'nın yazarı Rıfat Ilgaz'ın memleketi
Yunus emre,"""İlim, kendini bilmektir"" diyen Türk şair"
Ortopedik,Bel ağrısı yapmadığı iddia edilen yatak türü
Çay kaşığı,Tutamdan sonra en küçük mutfak ölçüsü birimi
Servis,Öğrencileri okula getirip götüren taşıt
Tavuğu,Komşunun __ komşuya kaz görünür
Escape,"Klavyenin en solunda, en üstte yer alan çıkış tuşu"
Camgöz,Akdeniz'de görülen bir köpek balığı çeşidi
Sfenks,Gize piramitlerini koruyan aslan bedenli heykel
Sabıka,Yeni işe başlarken bunun kaydı istenir
Şükran,"Bir kadın ismi, anlamı teşekkürdür"
Şiraze,Kitap yapraklarını düzgün tutan bağ örgü
Ketçap,Zamanında ilaç olarak da kullanılan domatesli sos
Manyas,Balıkesir'deki kuş cenneti
Hırdavat,"Vida, somun, çivi gibi eşyalara verilen ad"
Izafiyet,Albert Einstein'ın çığır açan teorisi
Çikolata,Kakaolu mutluluk kaynağı
Libretto,Operanın sözlerinin yazılı olduğu kitap
Katarakt,Halk dilinde aksu olarak bilinen göz rahatsızlığı
Tac mahal,Hindistan'daki ünlü anıt mezar
Yerleşke,Kampüsün diğer adı
Damatlık,Erkeklerin evlenirken giydiği kıyafet
Malabadi,12. yüzyılda inşa edilen ünlü Diyarbakır köprüsü
Yaşar doğu,Bu milli güreşçinin Samsun'da müze evi vardır
Çitilemek,Çamaşırın iki yanını birbirine sürtmek
Jetgiller,Uzayda yaşayan bir aileyi anlatan çizgi film
Diyagonal,Karenin çapraz iki köşesini birleştiren doğru
Çevrim içi,Bilgisayar sisteminde internete bağlı olma durumu
Eski dünya,"Asya, Avrupa ve Afrika'ya topluca verilen ad"
Selimiye,İstanbul'un Üsküdar ilçesinde bulunan ünlü kışla
Cermenler,Kavimler Göçü'nde Almanya civarına yerleşen halk
Doğal afet,Tabiat kaynaklı büyük felaket
Aylak adam,Yusuf Atılgan'ın ilk romanı
Samuru,"Buket Uzuner romanı, İki Yeşil Su __"
Çeltik,Pirinç bitkisinin ilk çıkan kabuklu hali
Terhis,Askerlik hizmetinin sona ermesi durumu
Dahice,Üstün zekayı kanıtlar nitelikte
Kontenjan,"Bir bölüme alınacak kişi sayısı, kota"
Kanuni,Onuncu Osmanlı padişahının unvanı
Teşvik,Birini bir iş için özendirme
Uçansu,Antalya'nın Serik ilçesinde yer alan şelale
Farazi,"Varsayıma dayalı, hipotezle yürüyen"
Kafein,Kahvenin içerisinde yer alan etken madde
Domino,Bir pizza markasına adını veren oyun
Mikser,Mutfakta çırpıcı olarak kullanılan alet
Sümbül,Güzel koku yayan soğanlı bir süs bitkisi
Mineral,Doğal veya yapay yolla elde edilen inorganik madde
Asistan,Yöneticilere ve çalışanlara destek olan kişi
Drakula,Kazıklı Voyvoda'nın lakabı
Behzat ç,Erdal Beşikçioğlu’nun polisi oynadığı dizi
Sığınak,Savaş hali için inşa edilen saklanma yeri
Alt yazı,Yabancı filmi anlaşılır kılan görsel takviye
Izlanda,2010'da Eyjafjallajökull volkanının patladığı ülke
Maşrapa,"Geniş ağızlı, kulplu su kabı"
Zımpara,Bir yüzeyi aşındırmak için kullanılan kağıt
Akdeniz,"Avrupa, Asya, Afrika kıtaları arasındaki iç deniz"
Keloğlan,Rüştü Asyalı'nın canlandırdığı masal kahramanı
Tuhafiye,"İğne, iplik, boncuk satan mağaza"
Sacayağı,Üstüne tencere konulan üç ayaklı demir destek
Gelincik,"Yazın kırlarda yetişen kırmızı bir çiçek, gün gülü"
Etnograf,Kavimleri ve kültür oluşumlarını inceleyen kişi
Ilkbahar,Doğanın uyandığı mevsim
Tazmanya,"Canavarı ile ünlü, Avustralya’ya bağlı bir ada"
Boğaziçi,İstanbul'un Bebek semtindeki devlet üniversitesi
Muz ağacı,"Anamur'da bolca bulunan, meyve veren bitki"
Rabarba,Tiyatroda arka plandaki kalabalık sesi
Pervane,Vantilatörün içinde dönen nesne
Son umut,Cem Yılmaz'ın rol aldığı Russell Crowe filmi
Biyopsi,İncelemek için vücuttan doku alma işlemi
Tayland,Phuket Adası bu ülkeye bağlıdır
Müjde ar,TRT'deki Aşk-ı Memnu'da Bihter'i canlandırmıştır
Rafadan,"Az pişmiş, kabuklu yumurta"
Ustalık,"Bir zanaatta üst mertebeye erişme, öğretici olma"
Habitat,Bir organizmanın doğal ortamı
Churros,İspanya'nın hamurdan yapılan geleneksel tatlısı
Koridor,Uçaklarda hosteslerin yürüdüğü dar ve uzun alan
Ali atay,Leyla ile Mecnun dizisinin başrol oyuncusu
Mekanik,Devinimi ve dengeyi ele alan fizik kolu
Diyaliz,Böbrek yetmezliği olan kişilere uygulanan tedavi
Fenomen,İnternette geniş kitlelere ulaşan kişi
Yesemek,Gaziantep'te yer alan açık hava müzesi
Eşofman,Egzersiz ve yürüyüşte giyilen rahat kıyafet
Ayşecik,Zeynep Değirmencioğlu ile özdeşleşmiş karakter
Maydanoz,Yemek ve salatalarda kullanılan bir yeşillik
Honolulu,Hawaii Eyaleti'nin başkenti
Zihniyet,"Toplumun ya da bireyin düşünme biçimi, mantalite"
Nagazaki,Nükleer saldırıya maruz kalan ikinci ve son şehir
Benzinci,Araç yakıtı satıcısı
Aspendos,Antalya'da amfitiyatrosuyla meşhur antik kent
Likidite,Şirketin hızlıca nakite çevirebileceği varlıklar
Kozmetik,Cildi güzelleştirmeye yarayan maddelerin genel adı
Çivit otu,Mavi boyanın elde edildiği bitki
Koloni,Hep birlikte yaşayan aynı tür bakteriler
Piyade,Yaya askerlerden oluşan sınıf
Konser,Şarkıların kalabalık önünde çalınıp söylenmesi
Anaokulu,Birinci sınıf öncesi eğitim kuruluşu
Pijama,Genelde gece yatarken giyilen giysi
Kolbastı,Karadeniz Bölgesi'nden Türkiye'ye yayılan dans
Patasi,Sümer şehir devletlerinin krallarına verilen ünvan
Dirgen,"Ekin saplarını yayan, ucu çatallı bir tarım aracı"
Ganyan,At yarışını kazanan at
Ankara,"""Bebe"" sözcüğünün yaygın olduğu şehir"
Hellim,Kıbrıs'a özgü bir beyaz peynir
Buzağı,Sığır yavrusu
Kartuş,Yazıcıya yerleştirilen mürekkep tüpü
Şebnem,Anlamı çiy olan kadın ismi
Havale,Hesaplar arası para gönderme işlemi
Aurora,"__ Borealis, Kuzey ışıkları"
Olağan,"Doğal akışta gerçekleşen, var olan, bilindik"
Bateri,"Davul, zil gibi aletlerden oluşan vurmalı saz"
Tarçın,Salep üstüne dökülen hoş kokulu baharat
Antika,Maddi değeri yüksek olan eski eşya
Balçık,İçinde kil oranı yüksek olan koyu toprak
Kaside,Divan edebiyatında devlet büyüklerini öven şiir
Oyuncu,Sahnede ya da filmde rol alanlara verilen genel ad
Lityum,Şarj edilebilir bataryalarda kullanılan element
Anofel,Sıtma mikrobunu yayan bir sivrisinek türü
Volkan,Magmanın yeryüzüne çıktığı yer şekli
Bulbasaur,Sırtında bir çiçek soğanı olan yeşil Pokemon
Saniye,Bir dakikanın altmışta biri olan zaman
Şekerpare,Genelde her birinin üzerine fındık konulan tatlı
Türbülans,Uçakları etkisi altına alabilen hava burgacı
Çala kaşık,Soluk almadan yemek yemeyi anlatan bir terim
Susturucu,Motorun egzoz gürültüsünü azaltan parça
Girişimci,"Yeni bir işe kalkışan kimse, müteşebbis"
Atkuyruğu,Saçı arkada toplayıp serbest bırakan saç modeli
Karabıyık,Yavuz Sultan Selim'in yaptırdığı Yozgat köprüsü
Balkanlar,Soğuk hava dalgasıyla ünlü yarımada
Kılcal,Vücuttaki en ince damar tipi
Dayanıklı,"Kolay kolay bozulmayan, kırılmayan, sağlam"
Ağabey,Kısaca abi diye telaffuz edilen kelime
Arazöz,Yol sulama aracı
Pancar,Doğal şeker elde edilen bitki
Yolluk,"Evlerde koridorlarda bulunan uzun, dikdörtgen halı"
Çalı çırpı,Kuru ağaç dalı yığını
Çinimaçin,Bayburt Kalesi'nin Osmanlı dönemindeki ismi
Ekabir,Devletin ileri gelenleri anlamında eski bir söz
Hayrat,Herkes kullansın diye yapılan çeşme
Spacex,Elon Musk'ın uzay alanında çalışan şirketi
Kungfu,Çin'deki adı Wushu olan savunma sanatı
Ilk çağ,Yazının bulunmasıyla başlayan devir
Astana,Kazakistan'ın başkenti Nursultan'ın eski adı
Saksağan,"Kargagillerden karnı beyaz, uzun kuyruklu bir kuş"
Davetiye,Bir etkinliğe çağrılanlara gönderilen kağıt
Bijuteri,Değerli olmayan malzemeyle yapılan takı
Kuğu gölü,Ana karakteri Odette olan ünlü Çaykovski balesi
Erzincan,"Erdal __, soyadını bir ilden alan THM sanatçısı"
Gönlü bol,Kalbi zengin kişi
Höşmerim,Marmara yöresine özgü peynir tatlısı
Lalapaşa,Dolmenleriyle tanınan Edirne ilçesi
Tahsilat,Parasal alacakların toplanması
Titikaka,Dünyanın en yüksek rakımlı gölü
Asırlık,"Yüz yaşını devirmiş, yüz yıldan fazladır var olan"
Şampuan,Saçı yıkamak için kullanılan köpüren madde
Nikotin,Patlıcanın kabuğunda bulunan zehirli bir madde
Ikileme,"Yavaş yavaş, uzun uzun bunun örnekleridir"
Ekstrem,Aşırı uç sporları veya davranışları tanımlar
Eflatun,"Kırmızı, mavi ve bolca beyazın oluşturduğu renk"
Galaksi,Bize en yakın olanı Andromeda'dır
Ekinoks,"Gündüz ile gecenin eşit olma hali, gün dönümü"
Ilk yarı,Futbol maçının birinci 45 dakikası
Meyankökü,"Mideye iyi gelen, kola yapımında kullanılan bitki"
Sabır taşı,"Mecazen, katlanma gücü çok yüksek olan kişi"
Yeni türkü,"Olmasa Mektubun, Fırtına şarkılarının sahibi grup"
Amortisör,Araçlarda sarsıntıyı en aza indiren parça
Deveboynu,S veya U şekli verilmiş boru
Sızlanmak,"Şikayette bulunmak, yakınmak"
Ingiltere,Birleşik Krallık'ın en büyük ülkesi
Greenwıch,Başlangıç meridyeninin geçtiği İngiliz kasabası
Ince memed,Peter Ustinov'un filme çektiği Yaşar Kemal romanı
Değirmen,Tahıl öğütülen yer
Mumyalama,Firavunlara ölümlerinden sonra yapılan işlem
Teneffüs,Okulda dinlenmek için verilen ara
Hissedar,Bir şirkette pay sahibi olan kişi
Nesildaş,"Aynı dönemin, aynı kuşağın çocukları"
Köprücük,İnsan boynunu omuzlara bağlayan yatay uzun kemik
Mercimek,Hem kırmızısı hem yeşili olan baklagil
Taraftar,Bir spor takımını destekleyenlerin her biri
Adıyaman,Nemrut Dağı'nın bulunduğu il
Zebercet,Anayurt Oteli romanındaki baş kahraman
Eyüboğlu,"Türk ressam ve şair, Bedri Rahmi __"
Karanfil,"Tohumu, ağız kokusunu gidermeye yarayan çiçek"
Alizarin,Rengi kırmızı olan bir kök boyası
Bisiklet,"Motorsuz, iki pedallı  ulaşım aracı"
Jale inan,Türkiye’nin ilk kadın arkeologu
Pastırma,Sonbahardaki sıcaklara da adını veren bir yiyecek
Ali nazik,Muhsin Bey'de Uğur Yücel'in oynadığı karakter
Grönland,Orijinal dilinde Yeşil Ülke anlamını taşıyan ülke
Milenyum,Bin yıllık zaman dilimi
Dişbudak,Kerestesi sert ve değerli bir orman ağacı
Umumiyet,"Genele açık olma, genele hitap etme"
Mikrofon,Konuşma sesini yükselterek çevreye duyuran alet
Dağcılık,Tırmanış yapılan doğa sporu
Camyünü,Çatılarda kullanılan bir izolasyon malzemesi
Eski çağ,Tarihte yazının bulunuşuna kadar süren dönem
Mahalle,Muhtarın yetki alanı
Kraliçe,Helen Mirren'ın 2. Elizabeth'i canlandırdığı film
Yaprağı,"Defne __, lüfer ailesinin en küçük üyesi"
Senegal,Paris Dakar rallisinin bitiş noktası olan ülke
Haziran,Kuzey Yarım Küre'de yaz mevsiminin ilk ayı
Sazlık,Sulak alanlarda yetişen bitki grubu
Dekont,Banka işlemini teyit eden belge
Tavşan,Kısa kuyruklu ve uzun kulaklı memeli bir kemirgen
Ressam,Resim yapan sanatçı
Kuğulu,Ankara'nın Kavaklıdere semtindeki ünlü park
Temmuz,Yaz mevsiminin ikinci ayı
Kanada,Bayrağında kırmızı bir akçaağaç yaprağı bulunur
Helyum,Atom numarası 2 olan element
Gülşen,90'larda Be Adam şarkısıyla çıkış yapan şarkıcı
Filtre,Arıtma parçası
Saadet,Mesut olma hali
Anonim,Yazarı bilinmeyen yapıt
Bağdaş,Bacakların toplandığı bir oturma biçimi
Sudoku,9'a kadar rakamları yerleştirerek çözülen bulmaca
Güney kore,2018 Kış Olimpiyatları’nın gerçekleştiği ülke
Gaziantep,Plaka numarası 27 olan şehir
Bahriyeli,Denizci asker
Danaburnu,Bitki köklerini kesen tarım zararlısı böcek
Penisilin,Bir küf içinde keşfedilen antibiyotik
Zafer takı,Paris'te Champs-Elysees girişindeki tarihi geçit
Orhan veli,Garip akımının kurucularından olan ünlü şair
Alışveriş,Takas veya parayla yapılan elde etme eylemi
Lebiderya,Denize sıfır
Kemeraltı,İzmir'de Kızlarağası Hanı'nın bulunduğu çarşı
Vikingler,İskandinavya’da yaşamış denizci topluluk
Köylükızı,Yılan Hikayesi'nde Memoli'nin Zeyno'ya hitabı
Troleybüs,Hava hattından aldığı elektrikle çalışan otobüs
Serindere,Kocaeli'nde yer alan 6 şelaleli kanyon
Keşişleme,Güneydoğu yönünden esen rüzgar
Zincirsiz,Tarantino'ya Oscar kazandıran 2012 tarihli film
Paleozoik,İlk jeolojik dönem
Devremülk,Ortaklaşa tatil konutu sahipliği sistemi
Kül ve ateş,Jane Austen'in iki kız kardeşi anlattığı romanı
Jinekolog,Kadın hastalıkları doktoruna verilen isim
Gerçeklik,"Hakikat, realite"
Izohips,Coğrafyada eş yükseklik eğrileri
Taşkale,Karaman'ın kaya içine yapılmış tahıl ambarları
Anırma,Eşek bağırması
Dantel,Televizyonların üzerine de konan ağ görünümlü örgü
Misafir,"Umduğunu değil, bulduğunu yer"
Kör nokta,Araçlarda yan aynalardan görülemeyen bölge
Cahit arf,Türk lirası üzerinde resmi bulunan matematikçi
Nihavent,Neşe ve hüznün karıştığı Türk Müziği Makamı
Sarımsak,Doğal antibiyotik olarak bilinen bitki
Kara delik,Nisan 2019'da ilk kez fotoğraflanan uzay cismi
Ince memed,Yaşar Kemal'in dört ciltten oluşan romanı
Manometre,Gaz veya sıvı basıncını ölçmeye yarayan alet
Kervan,Eskiden develerle nakliyat yapan kafile
Muhafız,"Birini veya bir şeyi koruyan kişi, koruyucu"
Stilist,Kıyafet tasarlayan kimse
Çırağan,İstanbul Ortaköy'de bulunan saray
Pastil,Boğaz enfeksiyonlarında kullanılan tablet
Alyuvar,Kana kırmızı rengini veren hücre
Langırt,Özel masasında minyatür futbolcularla oynanan oyun
Pedometre,"Yürüyen kişinin adımlarını sayan alet, adımsayar"
Aktarma,Yolcunun yol üstünde taşıt değiştirmesi
Transit,Beklemesiz geçiş
Kahkaha,Gülerken çıkan yüksek ses
Fanatik,Çok tutkulu taraftar
Pervane,Işığa doğru uçan küçük kelebek
Bezelye,"Yeşil, yuvarlak taneleriyle yemek yapılan baklagil"
Lökosit,Akyuvar
Tarhana,Kurutulmuş sebzelerden yapılan çorba
Macbook,Apple'ın dizüstü bilgisayarına verilen ad
Matador,Boğa güreşçisi
Tsunami,Deprem sonrası okyanusta meydana gelen doğa olayı
Mençuna,"Artvin, Arhavi'de bulunan ünlü şelale"
Kaporta,Motorlu araçların dıştaki metal kaplama kısmı
Bıcı bıcı,Bebek dilinde banyo
Fesleğen,Pesto sosun ana malzemesi
Karanfil,Ebru sanatında resmedilen bir çiçek
Rezonans,"MR görüntülemedeki ""R"" harfi bunu ifade eder"
Atlantik,Amerika ve Avrupa kıtaları arasındaki okyanus
Kapıkulu,"Padişaha bağlı çalışan, maaşlı Osmanlı askeri"
Müzakere,Devletler arasında yapılan görüşme
Çöpçüler,"1978 yapımı Zeki Ökten filmi, __ Kralı"
Ay çöreği,"İçine kakaolu kek koyulan, hilal biçimli hamur işi"
Kabzımal,Meyve ve sebze toptancısı
Damatlık,Evlenecek erkeğin giydiği takım elbise
Üsküdar,Kız Kulesi'nin bulunduğu ilçe
Ediz hun,Sezercik'in babası rolü çok bilinen Yeşilçam jönü
Daktilo,Tuşlara basıldığında ses çıkaran nostaljik klavye
Kaf dağı,Zümrüdüanka kuşunun yaşadığı yer
Refakat,Birine eşlik etme
Leblebi,Nohudu kavurarak yapılan kuruyemiş
Dövmeci,Vücut üzerine kalıcı çizimler yaparak para kazanır
