answer,kategori,question
Avunmak,,Başka şeylere yönelip hissedilen acıyı azaltmak
Bilmece,,Bir şeyin adını anmadan sözle anlatma oyunu
Yakamoz,,Işık saçan küçük bir deniz canlısı
Telefon,,ABD Başkanı'nın kimse kullanmaz dediği icat
Amalgam,,Halk arasında metal dolgu olarak bilinen madde
Karayel,,Kuzeybatıdan esen rüzgar
Ilıcalı,,Ünlü TV programcısı ve kanal sahibi Acun'un soyadı
Mobbing,,Ofis zorbalığı
Vampir,,Kan emerek beslenen hayali yaratık
Cehalet,,"Bilgisizlik, deneyimsizlik"
Imansız,,Dinsizin hakkından gelen atasözü kahramanı
Kavela,,Mobilya parçalarını tutturmaya yarayan ağaç çubuk
Pişkin,,"Arsızca davranan kişi, yüzsüz"
Empati,,Sosyopatlarda olmayan beceri; eşduyu
Kornet,,Üç pistonlu üflemeli çalgı
Sondaj,,Su kuyusu açma yöntemlerinin genel adı
Nebati,,Bitkisel
Borusu,,"Yemek __, yediklerimizi mideye ulaştıran geçit"
Versay,,Almanya'nın 1919'da imzaladığı barış antlaşması
Römork,,Traktörün arkasına bağlanan yük taşıma aracı
Araşit,,Yerfıstığı
Ottawa,,Kanada'nın başkenti
Suflör,,Tiyatroda oyunculara repliklerini fısıldayan kişi
Pahalı,,Fiyatı yüksek olan; ucuz olmayan
Şafağı,,"Zombilerin __, İngiliz yapımı korku-komedi filmi"
Kuaför,,Saç bakım evi
Kabuki,,Japon geleneksel tiyatrosu
Dizgin,,Binicinin atı kontrol etmesini sağlayan kayış
Zeytin,,Akdeniz iklimine özgü bir ağaç türü
Cühela,,Bilgisizler topluluğu
Türbin,,Su ve buharın dönme hareketine girdiği araç
Buzağı,,Yeni doğmuş sığır yavrusu
Halter,,Naim Süleymanoğlu'nun yaptığı spor dalı
Garuda,,Hint mitolojisinde tanrı Vişnu'nun bindiği kuş
Fayans,,Banyolarda tercih edilen yer ve duvar malzemesi
Halhal,,Ayak bileğine takılan bilezik
Rafael,,Ninja Kaplumbağalar'dan bir karakter
Volvox,,Şebnem Ferah'ın kurduğu müzik grubu
Fransa,,Başkenti Paris olan ülke
Tankçı,,Orduda zırhlı birlikte olan asker
Amitoz,,Hücrenin çekirdeği bozulmadan bölünmesi
Işbaşı,,Bir yerde çalışmaya başlama
Fazlalık,,İhtiyaçtan arta kalan; gereksiz kısım
Berabere,,"0-0, 1-1, 2-2 biten maç sonucu"
Parmesan,,Rendelenerek kullanılan sert bir peynir
Düztaban,,Ayağının altında kemer bulunmayan kimse
Kangal,,Sivas kökenli çoban köpeği
Drahmi,,Yunanistan'ın Euro'dan önceki para birimi
Arazöz,,Asfaltı ve kenardaki bitkileri sulayan araç
Tombul,,Hafif şişman
Nefrit,,Böbrekte görülen iltihap
Fuzuli,,Leyla ile Mecnun mesnevisini yazan şair
Bardak,,Su içmeye yarayan cam ya da plastik kap
Ilk kan,,Rambo serisinin birinci filmi
Klasör,,Yazıların belli bir düzene konulduğu dosya
Tatlıcı,,Tezgahında şerbetli ve şekerli yiyecekler olur
Cesaret,,Korkulan şeyleri yapmayı sağlayan duygu
Zımpara,,"Tahtaları düzeltmeye, parlatmaya yarayan nesne"
Arçelik,,"Koç Holding'e bağlı, beyaz eşya üreten firma"
Isviçre,,Medeni Kanun'un örnek alındığı ülke
Hellboy,,Şeytanın oğlu olan süper kahraman
Kretase,,Son mezozoik zaman dilimi
Bazlama,,Sac üzerinde yapılan kalın yufka
Selüloz,,Bitkilerin hücre yapısındaki karbonhidrat
Yangtze,,Asya kıtasının en uzun nehri
Erdoğan,,"Yılmaz __, Vizontele'nin Deli Emin'i"
Üçkağıtçı,,"Hile ile karşısındakini kandıran, dolandırıcı"
Gözlemevi,,"Gök cisimlerinin incelendiği yer, rasathane"
Bulut aras,,Sultan filminde Türkan Şoray'a eşlik eden aktör
Ekspertiz,,Malın değerinin uzman tarafından belirlenme işlemi
Istimator,,Gümrük mallarına değer biçen görevli
Balkanlar,,Soğuk hava dalgasıyla ünlü yarımada
Pejoratif,,Küçümseyici ve aşağılayıcı söz
Pişmaniye,,İzmit'in lifli tatlısı
Argan yağı,,Saç ve cilt bakımında kullanılan doğal bir madde
Karaborsa,,Bulunmayan malın yüksek fiyatla alındığı piyasa
Silahlara,,"Yazarı bu esere 47 farklı son yazdı, __ Veda"
Şirin baba,,Gargamel'in sevmediği köyün en yaşlısı
Viyadük,,Vadiye yapılan köprü yol
Pötibör,,Fransız asıllı küçük tereyağlı bisküvi
Lepiska,,Uzun sarı saçlar için kullanılan bir sıfat
Yılbaşı,,Sene değiştirirken kutlanan gün
Pötibör,,Ülker'in ürettiği ünlü bisküvi
Mangala,,14 hazneli bir tahtada oynanan geleneksel oyun
Tiryaki,,Çay veya kahve içmeye çok düşkün kişiye denir
Lavanta,,Kurutulmuşu naftalin görevi gören mor çiçek
Bariton,,Tenor ile bas arasındaki erkek sesi
Çorapçı,,"Ayak, bacak giysisi satan kimse"
Eğitim,,Okulların yaptığı iki önemli işten biri
Kırdırma,,Bir çeki ödeme tarihinden önce ve ucuza bozdurma
Gripin,,Ateş düşürücü ilaç; aynı adlı müzik grubu
Akılsız,,"Tatsız aşa tuz ne yapsın, __ başa söz ne yapsın"
Kanıtlama,,"İspat etme, delil gösterme"
Bitter,,İçinde yoğun ve saf kakao bulunan çikolata
Ticaret,,Gelir sağlama amacıyla yapılan her türlü işlem
Tahsildar,,Bir kurumda parayı almakla sorumlu kimse
Ahenkli,,İçinde bir düzen barındıran
Anarşist,,Toplumda düzensizlik ve kargaşa yanlısı
Korugan,,Sulhi Dölek tarafından yazılan bir kitap
Almanya,,Başkenti Berlin olan ülke
Enginar,,Mavi ve mor renkli çiçekler açan otsu bir bitki
Beckham,,"Spice Girls grubunun üyelerinden, Victoria __"
Ateşkes,,Karşılıklı olarak savaşı durdurmaya karar verme
Diploma,,İşe girmek için istenilen belgelerden biri
Piramit,,"Mısır firavunlarının mezarı, ehram"
Histeri,,Çırpınma ve kasılmalara yol açan ruhsal bozukluk
Profilo,,Bosch'un satın aldığı yerli beyaz eşya üreticisi
Abonman,,Kent içi ulaşımda para yerine geçen aylık kart
Icabına,,__ bakmak; Gereğini yapmak
Greyder,,Yoldaki toprağı yayarak ilerleyen makine
Kızamık,,Kırmızı lekeler döktüren bulaşıcı çocuk hastalığı
Lapilli,,Patlayan volkandan etrafa saçılan küçük taş
Anatomi,,Canlıların iç yapı ve düzenini inceleyen bilm dalı
Ökse otu,,Filmlerde altında duran iki kişiyi öpüştüren bitki
Kuluçka,,"Kuşların, yumurtanın üstünde yatması gereken süre"
Alkalin,,Çinko ve manganez dioksit içeren pil türü
Intikam,,"Öç, misilleme"
Mıntıka,,Askerlikte hep birlikte temizlenen yer
Üç beyaz,,"Un, tuz ve şekerin ortak adı"
Bacanak,,Kız kardeşlerin kocaları birbirine böyle seslenir
Erzurum,,Palandöken Kayak Merkezi'nin bulunduğu şehir
Oturak,,Alçak iskemle
Otranto,,II. Mehmet tarafından fethedilen İtalyan şehri
Kaunos,,Muğla'nın Köyceğiz ilçesinde yer alan antik kent
Sağlık,,Bireyin fiziksel ve ruhsal esenliği
Apolet,,Askerlerin rütbelerini gösteren omuz üstü arma
Krater,,Dünyaya çarpan göktaşının oluşturduğu çukur
Nestle,,Hazır kahvenin mucidi olan İsviçreli firma
Itiraf,,Saklanan bir gerçeği açıklama
Omurga,,Sırtta vücuda destek sağlayan kemik yapısı
Memleket,,Sılada hasreti çekilen yer
Hamasi,,"Yiğitlikleri anlatan destan, koşuk"
Buğday,,Ekmek yapımında kullanılan tahıl
Abarimon,,Hint mitolojisinde ayakları geriye dönük olan halk
Andersen,,Kibritçi Kız masalının yazarı
Qualcomm,,Snapdragon serisi işlemcileri üreten firma
Şadırvan,,"Cami avlusundaki kubbeli, açık havuz"
Adımbaşı,,Aynı yol üzerinde çok sık rastlanan
Makinist,,Tren şoförü
Orkestra,,Maestronun şefliğini yaptığı topluluk
Gargamel,,Şirinler’in baş düşmanı
Ekselans,,Yüksek makam sahibi yabancılara verilen ünvan
Pasaport,,Gurbette kullanılan kimlik; vizenin kardeşi
Kuşadası,,Dilek Yarımadası Milli Parkı bu ilçededir
Mancınık,,Orta Çağ'da kullanılan askeri fırlatma düzeneği
Istismar,,Kötüye kullanma
Torpilli,,Yüksek mevkilerde tandıkları olan
Pasaport,,"Gurbette kullanılan, vizenin işlendiği kimlik"
Saltanat,,TBMM tarafından 1922 yılında kaldırılan rejim
Anne sütü,,Bebeğin ilk besini
Teşekkür,,Basit minnet göstergesi
Kanaviçe,,Keten bez üzerine yapılan işleme
Zebercet,,Yusuf Atılgan romanı Anayurt Oteli'nin kahramanı
Sundance,,Bağımsız sinemanın kalesi olan film festivali
Raşitizm,,D vitamini eksikliğinde görülen çocuk hastalığı
Marmelat,,Ezilmiş meyveden yapılan reçel
Çilingir,,Kilitli kapıları açma işi ile uğraşan kişi
Zeravent,,Lohusa otu
Şimşirlik,,Padişah olamayacak şehzadelerin kaldığı yer
Ihtarname,,Resmi uyarı yazısı
Denemeler,,Montaigne'in en bilinen eseri
Işaretler,,Uzaylıların tarlaya şekil çizdiği Mel Gibson filmi
Kestanesi,,"At __, meyvesi dikenli bir orman ağacı"
Tuna nehri,,10 Avrupa ülkesinden geçen akarsu
Trombosit,,Pıhtılaşmayı sağlayan kan hücresi
Civanmert,,Dürüst ve yiğit kişi
Ebu simbel,,II. Ramses'in yaptırdığı ünlü tapınak
Samanyolu,,Dünyanın da dahil olduğu galaksi
Dağ keçisi,,Dik yamaçlara tırmanabilen bir hayvan
Idil biret,,Ünlü bir Türk kadın piyano sanatçısı
Düalizm,,"Herşeyin zıddının da olduğu görüşü, ikicilik"
Adaçayı,,Yaprakları demlenerek içilebilen ıtırlı bitki
Izdırap,,Fiziksel ya da ruhsal olarak çekilen büyük acı
Lavanta,,"Isparta'da yetiştirilen mor renkli, değerli çiçek"
Arpacık,,Göz kapağının kenarında çıkan küçük çıban
Dinozor,,Jurassic Park filmine konu olan hayvan
Akvarel,,Sulu boya ile yapılmış resim
Quebec,,Fransızcanın resmi dil olduğu Kanada eyaleti
Papyon,,Kelebek biçiminde yaka aksesuarı
Bağlama,,"Türk halk müziğinde kullanılan müzik aleti, saz"
Bienal,,"İki yılda bir, yılaşırı"
Suspus,,"Sesi kesilmiş, içine kapanmış"
Akbaba,,Ölü veya yaralı hayvanlarla beslenen kuş
Fiyort,,Çok derin ve kenarları çok dik körfez
Akkaya,,"Söz dizisinde, lakabı Kasap olan aktör, Sarp __"
Kiracı,,Bir evi geçici olarak tutan kişi
Endişe,,Kaygılı düşünce
Ipsala,,Yunanistan ile Türkiye arasındaki sınır kapısı
Ecemine,,Çad'ın başkenti
Trileçe,,Üç sütlü meşhur Arnavut tatlısı
Raspacı,,Gemilerin paslarını törpüleyip temizleyen görevli
Irem sak,,Yalan Dünya dizisinde Tülay'ı canlandıran oyuncu
Hemcins,,"Aynı türden olan, türdeş"
Suikast,,Önemli bir kişiyi plan yapıp öldürme
Çerçeve,,"Resim, ayna vb eşyalara takılan süslü kenar"
Inkisar,,Gönül kırıklığı
Satılık,,Para karşılığı elden çıkarılmak istenen eşya
Arkebüz,,Namlusundan doldurularak ateşlenen eski bir tüfek
Iriyarı,,Normalden daha cüsseli kişi
Akyuvar,,Beyaz kan hücresi
Ametist,,Volkanik topraklarda bulunan mor renkli süs taşı
Tıbbiye,,"Eski dilde, doktor yetiştiren fakülte"
Olimpos,,Antalya'nın popüler bir tatil bölgesi
Nakarat,,Şarkının tekrarlanan ve akılda kalan kısmı
Ay yıldız,,Türk bayrağı için kullanılan bir terim
Baterist,,Birden fazla vurmalı sazı aynı anda çalan sanatçı
Geçersiz,,Yürürlükten kaldırılmış olan
Davranış,,"Tutum, tavır"
Kalamata,,Çok iri ve etli zeytin
Hokkabaz,,El çabukluğuna dayalı gösteriler yapan kişi
Tahayyül,,Bir şeyi hayal etme
Ragnarok,,İskandinav mitolojisinde kıyamete verilen isim
Karanfil,,"Tohumu, ağız kokusunu gidermeye yarayan çiçek"
Tansiyon,,Kanın damarlardaki basıncı
Geğirmek,,Yemek sırasında yutulan havayı ağızdan çıkarmak
Hattuşaş,,Hititler'in başkenti
Asteğmen,,En düşük subay rütbesi
Sean bean,,Taht Oyunları'nın Ned Stark'ı
Merkep,,Eski dilde eşek
Balsam,,Parfüm ve ilaç yapımında kullanılan bir reçine
Teşhir,,Bir ürünü sergileme
Epifit,,Bir bitkinin üstünde yetişen zararsız bitki
Içtima,,Askerlerin hazır şekilde toplanması
Berjer,,Geniş koltuğa karşılık gelen Fransızca kökenli söz
Dargın,,"Küskün, kırgın, kırılmış kimse"
Sharon,,"__ Stone, Amerika'lı sinema oyuncusu"
Ibradı,,Antalya'nın bir ilçesi
Andromeda,,Galaksimizin komşusu olan galaksi
Ögeday,,Cengiz Han öldükten sonra yerine geçen oğlu
Jeneratör,,Akaryakıtla çalışan ve elektrik üreten cihaz
Kronoloji,,Zamana göre dizilmiş liste; zamanı inceleyen bilim
Bütünleme,,Sınıfta kalmamak için girilen sınav
Münasebet,,Eski dilde flörtleşmek için kullanılan kelime
Çılgın max,,Mel Gibson'u üne kavuşturan 1979 yapımı film
Traverten,,En bilineni Pamukkale'de bulunan kayaç
Hızır acil,,"112 ile ulaşılan, hayat kurtaran servis"
Anaerobik,,"Yüksek tempoda, kısa süreli egzersiz"
Paul allen,,Microsoft'u Bill Gates ile birlikte kuran iş adamı
Meslektaş,,Aynı işi yapan kişilerden herbiri
Yelpaze,,Sallayınca serinleten katlanabilir araç
Ziyaretçi,,"Bir müzeyi, sergiyi görmeye giden kişi"
Silikon,,"Amerika'nın teknoloji merkezi, __ Vadisi"
Yedisinde,,"İnsan __ ne ise, yetmişinde de odur"
Balkanlar,,Avrupa'nın güneydoğu bölgesi
Kabasakal,,Temel Reis'in baş düşmanı
Sergüzeşt,,"Eski dilde, heyecanlı olay, macera, serüven"
Muhallebi,,"Süt, un, nişasta ve vanilya ile yapılan tatlı"
Ağırbaşlı,,Olgun ve ciddi davranışları olan kişi
Konfüçyüs,,Özlü sözleriyle ünlü Çinli filozof
Kasımpatı,,Sonbaharda rengarenk açan çiçek
Karahumma,,Suda bulunan basilden kaynaklı bulaşıcı hastalık
Göz kapağı,,Görme organımızın panjuru
Mezuniyet,,Okulu bitirme töreni
Pedometre,,"Koşuda, yürüyüşte adım sayısını gösteren cihaz"
Alışveriş,,Sonucunda fiş verilen ticari faaliyet
Süslenmek,,Daha iyi görünmek için kendini güzelleştirmek
Teorisyen,,Bir kuram öne süren kişi
Kırıkkale,,Silah fabrikası denilince akla gelen Anadolu şehri
Tatlı sert,,"İncitmeden, fakat ciddi bir şekilde konuşma biçimi"
Basketbol,,"Beşer kişilik iki takımla oynanan spor, sepettopu"
Dörtçeker,,Motorun bütün tekerlere güç ilettiği araç düzeneği
Tarık akan,,Hababam Sınıfı'nın Damat Ferit'i
Işınlamak,,Bir varlığı atomlarına ayırıp başka yere yollamak
Hayranlık,,Güzel bir şey karşısında hissedilen beğeni duygusu
Levend,,Osmanlı'da donanmasındaki askerlere verilen ad
Kahire,,Piramitler ülkesinin başkenti
Yerebatan,,İçinde 336 tane sütun bulunan İstanbul'daki sarnıç
Güney kore,,2018 Kış Olimpiyatları’nın gerçekleştiği ülke
Bahriyeli,,Denizci asker
Gaziantep,,Plaka numarası 27 olan şehir
Penisilin,,Bir küf içinde keşfedilen antibiyotik
Zafer takı,,Paris'te Champs-Elysees girişindeki tarihi geçit
Orhan veli,,Garip akımının kurucularından olan ünlü şair
Alışveriş,,Takas veya parayla yapılan elde etme eylemi
Danaburnu,,Bitki köklerini kesen tarım zararlısı böcek
Kansızlık,,Anemi
Kemeraltı,,İzmir'de Kızlarağası Hanı'nın bulunduğu çarşı
Lebiderya,,Denize sıfır
Vikingler,,İskandinavya’da yaşamış denizci topluluk
Köylükızı,,Yılan Hikayesi'nde Memoli'nin Zeyno'ya hitabı
Kırkkaşık,,Mersin'in Tarsus ilçesindeki tarihi bedesten
Keşişleme,,Güneydoğu yönünden esen rüzgar
Troleybüs,,Hava hattından aldığı elektrikle çalışan otobüs
Paleozoik,,İlk jeolojik dönem
Serindere,,Kocaeli'nde yer alan 6 şelaleli kanyon
Zincirsiz,,Tarantino'ya Oscar kazandıran 2012 tarihli film
Devremülk,,Ortaklaşa tatil konutu sahipliği sistemi
Kül ve ateş,,Jane Austen'in iki kız kardeşi anlattığı romanı
Gerçeklik,,"Hakikat, realite"
Jinekolog,,Kadın hastalıkları doktoruna verilen isim
Güderi,,"Üzeri dokulu, silme işleminde de kullanılan deri"
Hendek,,Cahile laf anlatmak deveye __ atlatmaktan zordur
Mutfak,,Yemek yapılan ve yenilen oda
Yemeni,,Başa bağlanan renkli tülbent
Bayram,,Genellikle tatil olan milli veya dini kutlama günü
Teflon,,Mutfak araçlarında kullanılan yapışmaz madde
Bizzat,,"Doğrudan, aracı kullanmadan, şahsen"
Kurnaz,,"Açıkgözlü, istediğini bir şekilde elde eden kimse"
Filika,,Gemilerde bulunan acil durum sandalı
Haşere,,Her çeşit börtü böcek
Vardar,,"Balkan türküsü, __ Ovası"
Lizbon,,Portekiz'in başkenti
Erişte,,Ev makarnası
Acente,,Seyahat veya sigorta işi yapan ofislere denir
Nemrut,,Adıyaman’da dev heykellere ev sahipliği yapan dağ
Mutfak,,Yemek yapılan oda
Bovary,,"Fransız yazar Gustave Flaubert'in eseri, Madam __"
Alaturka,,Doğulu gelenekleri ve hayatı sürdüren kişi
Yeşilçam,,Türk sineması anlamına da gelen Beyoğlu sokağı
Çepelleme,,Yemek kaplarını kirletme
Büyücülük,,Harry Potter'in okulda eğitimini aldığı meslek
Sancaktar,,Bayrağı ordunun önünde taşıyan kimse
Lehimleme,,Metalleri eriterek birbirine tutturma
Cengizhan,,Moğol İmparatorluğu'nun kurucusu
Ahmağa,,"__ yüz, abdala söz vermeye gelmez"
Kırgızlar,,Manas destanının ait olduğu Türk topluluğu
Zirkonyum,,Zr ile simgelenen element
Eczacı,,Formüle göre ilaç hazırlayan meslek sahibi
Coğrafya,,Yeryüzünü fiziksel vb. yönlerden inceleyen bilim
Woodstock,,1969'da düzenlenen efsanevi müzik festivali
Fondöten,,Yüzdeki lekeleri kapatmak için kullanılan malzeme
Wilbur,,"__ Smith, Afrika'nın yazarı"
Cem sultan,,İkinci Bayezid'le taht kavgasına giren kardeşi
Prefabrik,,Deprem bölgesinde montajla kurulan ev
Mehmetçik,,Er seviyesindeki Türk askerine verilen ad
Mikerinos,,Giza Piramitleri'nin en küçüğü
Kastamonu,,Ilgaz Kayak Merkezi'nin bulunduğu il
Jinefobi,,Kadınlara karşı duyulan korku
Tütsüleme,,"Et, balık gibi yiyecekleri dumana tutma"
Galibiyet,,"Bir mücadeleyi kazanma, yenme"
Suistimal,,İyi niyeti kötüye kullanma
Nakliyeci,,Eşyayı bir yerden bir yere aracıyla taşıyan kimse
Zambiya,,Güney Afrika'da denize kıyısı olmayan bir ülke
Almanak,,Yıllık basılan ve o yılın olaylarını anlatan yayın
Psikoloji,,Ruh bilimi
Tütsüleme,,"Et, balık gibi yiyecekleri hafif ateşe tutma"
Cacabey,,Kırşehir'de yer alan Anadolu Selçuklu medresesi
Haberci,,"Gazeteye havadis gönderen kimse, muhabir"
Taş yünü,,"Mineral kökenli, ısı ve ses yalıtıcı elyaf malzeme"
Fruktoz,,Meyveden elde edilen şeker
Everest,,Dünyanın en yüksek noktası
Nargile,,Alengir kelimesinin anagramı
Metazoa,,Tüm çok hücreli hayvanları kapsayan tanım
Beyzbol,,"Sopa ve topla oynanan, Amerika'da popüler oyun"
Güdümlü,,Kilitlendiği hedefi takip edebilen füze türü
Cervantes,,Don Kişot'un yazarı
Sparrow,,Jack __; Karayip Korsanları'nın baş karakteri
Prefabrik,,İnşaat gerektirmeden montajla kurulabilen ev
Istiridye,,İçinde inci barındıran deniz kabuklusu
Cem sultan,,İkinci Bayezid'le taht mücadelesine giren kardeşi
Itfaiye,,Yangınları söndürmekle görevli kamu kurumu
Istikbal,,Kayserili bir mobilya üreticisi ve markası
Flip flop,,Genelde plajda giyilen parmak arası terlik.
Tenzilat,,Fiyatta indirim yapılması
Pakistan,,1947'de Hindistan'dan ayrılarak kurulan ülke
Kantinci,,Okullarda yiyecek içecek satıcısı
Buz devri,,"Mamut, tembel hayvan ve kaplanın maceraları"
Istikbal,,"__ Göklerdedir, Atatürk'ün bir sözü"
Çarşamba,,Haftanın üçüncü iş günü
Sorumsuz,,Üzerine düşen görevleri umursamayan ve yapmayan
Flip flop,,Parmak arası terliğin yabancı kökenli adı
Supangle,,Adı İngiliz çorbası anlamına gelen kakaolu tatlı
Gereksiz,,"İhtiyaç duyulmayan, lazım olmayan"
Mersault,,Albert Camus'un Yabancı adlı kitabının kahramanı
Buz devri,,"Mamut, rakun ve kılıç dişli kaplanın maceraları"
Tom hanks,,Forrest Gump filmi ile Oscar kazanan aktör
Şömizye,,"Yakası gömlek gibi, manşetli bir kadın bluzu"
Vidanjör,,Tıkanmış olan kanalizasyondaki suyu çeken makine
Blender,,Meyve ve sebze doğrayan elektrikli alet
Sterlin,,İngiliz para biriminin Türkiye'deki adı; Pound
Avcılık,,Hayvanları öldürmeye dayalı hobi
Karides,,Jumbo olanı ayaklı kadehte servis edilen kabuklu
Şövalye,,Eskiden zırh giyerek savaşlara katılan asker
Ortanca,,Üç kardeşten ikincisi
Utangaç,,Bir toplulukta rahat hareket edemeyen kişi
Tarator,,Bayat ekmek ve cevizle yapılan sos
Blender,,Genellikle çorba ve içecek yapmaya yarayan alet
Pisagor,,Sayıların Babası olarak bilinen İyonyalı filozof
Sterlin,,İngiliz para birimi; Pound
Insülin,,Kan şekerinin yükselmesini önleyen hormon
Karides,,Pembe renkte kabuklu bir deniz canlısı
Evlilik,,Bunun cüzdanı nikahta kadına verilir
Sürücü,,"Motorlu araçları yürüten kişi, şoför"
Ön büro,,Otelin resepsiyonunun bulunduğu bölüm
Kaynak,,Suyun doğal yollarla yeryüzüne çıktığı yer
Dambıl,,Tek elle kaldırılan küçük halter
Gevrek,,İzmirli simit
Üzengi,,Çekiç ve örs dışındaki orta kulak kemiği
Yandex,,Arama motoru ile bilinen Rus teknoloji şirketi
Düdüğü,,Parayı veren __ çalar
Macera,,Nefes kesen olaylar zinciri
Anemik,,Kan değerleri düşük kişi
Reggae,,Bob Marley'in temsilcisi olduğu müzik türü
Aziz nesin,,Zübük romanının yazarı
Faksimile,,Bir yazı veya desenin tamamen aynı olan basımı
Lara croft,,Tomb Raider oyununun baş karakteri
Jinekolog,,Kadın hastalıkları uzmanı
Miniatürk,,Ünlü mimari eserlerin maketleri bu parktadır
Parfümeri,,Kozmetik malzemelerinin satıldığı dükkan
Irdelemek,,Bir konuyu didik didik ederek incelemek
Kuşkonmaz,,"Hem yenilen hem de süs olan, hafif yapraklı bitki"
Hegemonya,,Bir kişi üzerinde kurulan üstünlük ve baskı
Gırgıriye,,Cennet Mahallesi dizisinin uyarlandığı yerli film
Tripleks,,"Üç katlı, merdivenleri içeride olan ev"
Metrekare,,Evler için kullanılan alan ölçü birimi
Deadpool,,Ryan Reynolds'un canlandırdığı süper kahraman
Kalahari,,Güney Afrika’daki büyük çöl
Tekmelik,,Futbolcuların taktığı darbe koruyucu
Fondöten,,Ten makyajında kullanılan renk eşitleyici madde
Endoskop,,Ağızdan mideye kadar sokulan görüntüleyici cihaz
Havagazı,,Kömürden elde edilen uçucu yakıt
Agnostik,,Felsefesi bilinemezcilik olan kişi
Oratoryo,,"Dekor, kostüm ve oyun bulunmayan opera"
Komposto,,Meyvelerin suda kaynatılmasıyla yapılan hoşaf
Çaldırmak,,Herhangi bir eşyayı hırsıza kaptırmak
Tereşkova,,"Valentina __, uzaya çıkan ilk kadın"
Deplasman,,Takımın rakip sahada maça gitmesi
Zirkonyum,,Diş kaplamasında da kullanılan Zr simgeli element
Fırçalama,,"Argoda, birini azarlama"
Maneviyat,,Fiziksel olmayan duyguların tamamı
Garipname,,Aşık Paşa'nın 1330 yılında yazdığı didaktik eser
Ağaçkakan,,Gagasıyla tahtayı oyabilen kuş
Stilim,,"İşte Benim __, kıyafetlerin yarıştığı tv programı"
Tarkan,,Megastar olarak bilinen erkek şarkıcı
Mandal,,Yıkanmış çamaşırları ipe tutturmaya yarayan kıskaç
Kasaba,,"Köyden büyük yerleşim yeri, belde"
Haylaz,,"Tembel, yaramaz, kötü davranışlı çocuk"
Leopar,,Afrika'da yaşayan en büyük ikinci kedi türü
Urartu,,Başkenti Van'da bulunan Tuşpa olan antik medeniyet
Abidin,,"""Sen mutluluğun resmini yapabilir misin __"""
Vizyon,,Uzun vadeli stratejik hedef
Tarkan,,Türk Dil Kurumu'ndan tebrik alan şarkı sözü yazarı
Önörgü,,Bir yazının yazılmadan önce hazırlanan taslağı
Cetvel,,Çizgi çizmeye yarayan ve üzerinde rakam olan araç
Besici,,Küçükbaş ve büyükbaş hayvan yetiştiricisi
Onarma,,Bozuk ya da kırık bir eşyayı tamir etme
Zeplin,,Üzerindeki balon sayesinde uçan eski hava taşıtı
Çekmece,,Şifoniyerin hareketli parçalarına verilen ad
Mobbing,,Bir işçiye uygulanan psikolojik baskı
Korsika,,Güzellikler Adası da denen Fransız adası
Çekmece,,Dolapların hareketli parçalarına verilen ad
Sheldon,,The Big Bang Theory'nin asosyal dahisi
Raptors,,"NBA'de şampiyon olan tek Kanada takımı, Toronto __"
Trompet,,"Üç düğmeli, nefesli bakır çalgı"
Gönüllü,,Bir işi karşılık beklemeden yapan kişi
Vatikan,,Avrupa'nın yüz ölçümü en küçük ülkesi
Sendika,,İşçilerin haklarını korumak için kurulan örgüt
Giresun,,Bol fındık yetiştirilen bir Karadeniz ili
Boşanma,,Evlilik ilişkisini bitirme
Şensoy,,"Ferhan __, Ferhangi Şeyler"
Postacı,,Mektup dağıtan görevli
Balkan,,Yunanistan'ın da içinde bulunduğu yarımada
Eufobi,,İyi haber alma korkusu
Jacobs,,Nescafe'nin Türkiye'deki en büyük rakibi
Langur,,"Hindistan'a özgü, küçük bir maymun türü"
Lugano,,İsviçre'nin İtalyanca konuşulan şehirlerinden biri
Petrol,,Eurovision'da Ajda Pekkan'ın seslendirdiği şarkı
Davalı,,"Mahkemede, hakkında suçlamada bulunulan taraf"
Scooby,,"Esrarengiz olayları araştıran çizgi film, __ Doo"
Balkan,,Türkiye'nin batısındaki yarımada
Vasati,,"Ortalama, yaklaşık olarak anlamına gelen kelime"
Kulvar,,Yüzme yarışında her yarışçıya ayrılan şerit
Pinhan,,Yazar Elif Şafak'ın ilk romanı
Süvari,,Atlı askerlere verilen isim
Yakuza,,Japon mafyası
Aralık,,Yılın son ayı
Işıkçı,,Sahne aydınlatmasından sorumlu kimse
Escape,,Klavyedeki esc tuşundaki kelimenin açılımı
Mesafe,,İki nokta arasındaki uzaklık
Piyano,,Frederic Chopin'in çaldığı enstrüman
Ihlara,,"Aksaray'da bulunan tarihi kanyon, __ Vadisi"
Frikik,,Futbolda serbest vuruş
Havhav,,Çocuk dilinde köpek anlamına gelen kelime
Trampa,,Bir malın başka bir malla takas edilmesi işlemi
Eczacı,,Doktor yazısını okuyabilen meslek sahibi
Destan,,"Kahramanlık öyküsü anlatan, coşkulu halk şiiri"
Gondol,,Özellikle Venedik'te kullanılan kayık türü
Broşür,,Herhangi bir işi ya da kişiyi tanıtan kitapçık
Okkalı,,Telvesi ve köpüğü bol Türk kahvesi
Imarlı,,Üzerine bina yapma izni verilmiş olan arsa
Kimono,,"Japon kültürüne özgü, ipekten yapılan bir giysi"
Vizontele,,Bir köye televizyonun gelişini anlatan Türk filmi
Süslenmek,,Daha iyi görünmek için aksesuarlar takmak
